code,select_td,buy_td,sell_td,t0,net_ret,mom_5,mom_20,ma20_slope_5,ma20_dev,ma20_over_ma60,vol_20,mdd_10,amt_ma20,y_rel
159681.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.023417715660881244,-0.043092522179974724,0.012064343163538993,0.008199999999999985,-0.022020725388601003,0.058597678032727085,0.018402947840439072,-0.06849315068493156,19945703.5,168
159682.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.015519446290322758,-0.04615384615384621,0.009497964721845387,0.007749999999999924,-0.0242622950819672,0.058880711012359255,0.01848505152925701,-0.07295597484276739,149378088.75,103
159706.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.01213130133757967,-0.026604068857590035,0.004846526655896577,0.0043999999999999595,-0.014731506415333384,0.048148763074879586,0.009438619385581,-0.032761310452418146,3753872.35,70
159709.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.01688622885598945,-0.044472681067344366,-0.010526315789473717,0.006349999999999967,-0.03928457361865212,0.08521847632691704,0.01408495872680064,-0.0737500000000001,305374.5,117
159726.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.015612837694090498,-0.0411111111111111,-0.015963511972634015,-0.0016499999999998183,-0.022705396070437867,0.0366058851150417,0.009319198434238746,-0.0411111111111111,18922761.8,105
159736.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.02211372840909087,-0.030927835051546393,0.016216216216216273,0.004850000000000021,-0.0030491846745326345,0.03598406812251054,0.014143720800769997,-0.030927835051546393,26679800.3,154
159752.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.03735199215189877,-0.03861788617886175,0.008528784648187626,0.0048000000000000265,-0.02292914687048131,0.03521277354052321,0.021740059174319332,-0.06759443339960236,12605930.6,213
159758.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.017529796848072765,-0.011235955056179803,0.011494252873563315,0.0051000000000001044,-0.009064804909633462,0.05306533855093076,0.0063519097234448095,-0.02885682574916759,7733102.65,125
159770.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,-0.015597728540245437,-0.04811443433029916,0.011049723756905827,0.00505000000000011,-0.02795299116924521,0.07604191474160515,0.017730896073938046,-0.09936305732484085,33319219.6,3
159780.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.010054675181236705,-0.04462474645030423,-0.010504201680672232,0.002850000000000019,-0.03463824554211936,0.05079148569582537,0.01452969064701962,-0.07539682539682535,37949477.55,46
159781.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.005833996158798538,-0.04498977505112467,-0.014767932489451518,0.002799999999999858,-0.034924571192395004,0.05051016716115475,0.01392375664694716,-0.07199999999999995,89468586.1,26
159782.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.005779239510638412,-0.04471544715447151,-0.010526315789473717,0.0030000000000000027,-0.03361776498406488,0.04997841105354062,0.014129260498397427,-0.07738095238095233,4779103.4,25
159783.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,-0.0005999099999999258,-0.0444444444444444,-0.010460251046025104,0.0030999999999999917,-0.03459536687417075,0.051094107551487244,0.014729654245438635,-0.07114624505928846,51535728.8,9
