code,select_td,buy_td,t0,f1_ma20_slope,f2_close_ma20_dev,f3_mdd_5d,f4_ret_acc,f5_amt_ma20,f6_vol_20d,score,rank,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
159937.SZ,2024-05-09,2024-05-10,2024-05-09,-0.35998076621296304,-0.5431621553537448,1.4200872773756696,-0.42220123488754374,-0.23776157229531447,-0.9972354866330349,-0.174054081372732,3,2024-05-17,5.338,5.42,0.015361558636193262,0.015361558636193262,TRADE_OK,2025-12-23
159633.SZ,2024-05-23,2024-05-24,2024-05-23,0.32817264448275907,-0.37881747013983813,-0.06157512685857427,-1.3816875911814464,-0.49879291937397235,-0.8248435109675659,-0.09573651105093657,1,2024-05-31,2.179,2.1670000000000003,-0.0055071133547497375,-0.0055071133547497375,TRADE_OK,2025-12-23
159996.SZ,2024-05-23,2024-05-24,2024-05-23,-0.22443539743957136,-0.22795025038166614,0.33681489939318426,-0.38966142330822123,-0.5374978660067482,-0.793756008295611,-0.10071034015795685,2,2024-05-31,1.218,1.207,-0.009031198686371034,-0.009031198686371034,TRADE_OK,2025-12-23
159915.SZ,2024-05-23,2024-05-24,2024-05-23,0.08627629405639754,0.07412566466715084,0.9370519204931039,-1.3522196376517928,1.210966292274679,-0.6486012730966237,-0.12593017168742188,3,2024-05-31,1.804,1.772,-0.0177383592017738,-0.0177383592017738,TRADE_OK,2025-12-23
159985.SZ,2024-05-30,2024-05-31,2024-05-30,0.1509210083944513,-0.6498592203820756,-0.1672087602402209,0.32510980996691935,-0.3066830594213727,-0.9120906127837597,0.3085774937699767,1,2024-06-07,2.242,2.264,0.009812667261373642,0.009812667261373642,TRADE_OK,2025-12-23
513600.SH,2024-05-30,2024-05-31,2024-05-30,0.7056143636825493,-0.8303431969954217,-0.14588691229333814,-0.12527590679826972,-0.5021830757043201,-0.6584250850699636,0.28593850917501645,2,2024-06-07,2.1109999999999998,2.121,0.004737091425864648,0.004737091425864648,TRADE_OK,2025-12-23
513660.SH,2024-05-30,2024-05-31,2024-05-30,0.6409696493444492,-0.7788608880038889,0.07269449104045483,-0.011166377664294168,-0.4141401809537274,-0.6506408247787198,0.267360710454295,3,2024-06-07,2.201,2.208,0.003180372557928246,0.003180372557928246,TRADE_OK,2025-12-23
159865.SZ,2024-06-06,2024-06-07,2024-06-06,-0.9125888081353027,-1.41653254612426,-0.22778495025727152,-0.07114180111937397,-0.44561781755654384,-0.802057590827664,0.10336746859696236,1,2024-06-14,0.634,0.618,-0.025236593059936974,-0.025236593059936974,TRADE_OK,2025-12-23
159825.SZ,2024-06-06,2024-06-07,2024-06-06,-0.9542950754501957,-1.1126120844070626,0.0976030309518306,-0.12312676806973463,-0.6043111747458632,-0.9318784627256765,-0.014097917488729267,2,2024-06-14,0.716,0.6960000000000001,-0.027932960893854664,-0.027932960893854664,TRADE_OK,2025-12-23
515100.SH,2024-06-06,2024-06-07,2024-06-06,-1.0120582556813225,-0.7490223230810761,0.35891801797642076,0.018908110972067908,-0.5196404783968029,-1.2822019020527742,-0.025730169627756927,3,2024-06-14,1.362,1.347,-0.011013215859030923,-0.011013215859030923,TRADE_OK,2025-12-23
159707.SZ,2024-06-13,2024-06-14,2024-06-13,-0.9271860016955136,-1.41653254612426,-0.5763231967613294,-0.5780865285936587,-0.5783611073971547,0.4169687749652147,-0.15142562697935147,1,2024-06-21,0.584,0.56,-0.041095890410958735,-0.041095890410958735,TRADE_OK,2025-12-23
159980.SZ,2024-06-13,2024-06-14,2024-06-13,-1.0120582556813225,-0.9495900171279087,0.6619930994243828,-1.378315171073173,-0.396660615215465,-0.6792361598049372,-0.3925488160069494,2,2024-06-21,1.7449999999999999,1.738,-0.0040114613180515235,-0.0040114613180515235,TRADE_OK,2025-12-23
159611.SZ,2024-06-20,2024-06-21,2024-06-20,-0.6269008770282946,-0.24126766970788072,0.986806373016613,0.5595565908061316,-0.4204089523741492,-1.0007250986105432,-0.03825224080528333,1,2024-06-28,1.024,1.044,0.01953125,0.01953125,TRADE_OK,2025-12-23
