code,select_td,buy_td,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
515100.SH,2024-06-06,2024-06-07,2024-06-14,1.362,1.347,-0.011013215859030923,-0.011013215859030923,TRADE_OK,2025-12-23
515290.SH,2024-06-06,2024-06-07,2024-06-14,1.0979999999999999,1.085,-0.011839708561019902,-0.011839708561019902,TRADE_OK,2025-12-23
516970.SH,2024-06-06,2024-06-07,2024-06-14,1.0459999999999998,1.0270000000000001,-0.018164435946462443,-0.018164435946462443,TRADE_OK,2025-12-23
159707.SZ,2024-06-13,2024-06-14,2024-06-21,0.584,0.56,-0.041095890410958735,-0.041095890410958735,TRADE_OK,2025-12-23
159980.SZ,2024-06-13,2024-06-14,2024-06-21,1.7449999999999999,1.738,-0.0040114613180515235,-0.0040114613180515235,TRADE_OK,2025-12-23
159611.SZ,2024-06-20,2024-06-21,2024-06-28,1.024,1.044,0.01953125,0.01953125,TRADE_OK,2025-12-23
159611.SZ,2024-06-27,2024-06-28,2024-07-05,1.0190000000000001,1.053,0.03336604514229613,0.03336604514229613,TRADE_OK,2025-12-23
513310.SH,2024-07-04,2024-07-05,2024-07-12,1.347,1.371,0.017817371937639104,0.017817371937639104,TRADE_OK,2025-12-23
515050.SH,2024-07-04,2024-07-05,2024-07-12,0.995,1.048,0.05326633165829153,0.05326633165829153,TRADE_OK,2025-12-23
515880.SH,2024-07-04,2024-07-05,2024-07-12,1.157,1.204,0.04062229904926529,0.04062229904926529,TRADE_OK,2025-12-23
159941.SZ,2024-07-18,2024-07-19,2024-07-26,1.108,1.062,-0.041516245487364656,-0.041516245487364656,TRADE_OK,2025-12-23
159866.SZ,2024-07-25,2024-07-26,2024-08-02,1.048,1.0279999999999998,-0.019083969465649053,-0.019083969465649053,TRADE_OK,2025-12-23
513000.SH,2024-07-25,2024-07-26,2024-08-02,1.3860000000000001,1.3439999999999999,-0.030303030303030498,-0.030303030303030498,TRADE_OK,2025-12-23
513300.SH,2024-07-25,2024-07-26,2024-08-02,1.795,1.785,-0.005571030640668551,-0.005571030640668551,TRADE_OK,2025-12-23
513520.SH,2024-07-25,2024-07-26,2024-08-02,1.42,1.409,-0.007746478873239315,-0.007746478873239315,TRADE_OK,2025-12-23
513880.SH,2024-07-25,2024-07-26,2024-08-02,1.298,1.2670000000000001,-0.023882896764252592,-0.023882896764252592,TRADE_OK,2025-12-23
512200.SH,2024-08-29,2024-08-30,2024-09-06,1.113,1.147,0.03054806828391743,0.03054806828391743,TRADE_OK,2025-12-23
512200.SH,2024-09-12,2024-09-13,2024-09-20,1.133,1.2169999999999999,0.07413945278022926,0.07413945278022926,TRADE_OK,2025-12-23
159687.SZ,2024-10-10,2024-10-11,2024-10-18,1.278,1.28,0.0015649452269170805,0.0015649452269170805,TRADE_OK,2025-12-23
159601.SZ,2024-10-17,2024-10-18,2024-10-25,0.8170000000000001,0.844,0.033047735618114915,0.033047735618114915,TRADE_OK,2025-12-23
159605.SZ,2024-10-17,2024-10-18,2024-10-25,0.928,0.9470000000000001,0.020474137931034475,0.020474137931034475,TRADE_OK,2025-12-23
159607.SZ,2024-10-17,2024-10-18,2024-10-25,0.92,0.9380000000000001,0.019565217391304346,0.019565217391304346,TRADE_OK,2025-12-23
